BSN;Name;PLZ;Adresse;City;Latitude;Longitude;;;;;;;;;;;;;
09P06;Montessori Campus Berlin Köpenick (Gemeinschaftsschule);12557;Köpenzeile 125;Berlin;52.42783;13.59503;;;;;;;;;;;;;
09P11;Berufsbildungszentrum Chemie;12489;Adlergestell 333;Berlin;52.42836;13.55251;;;;;;;;;;;;;
09G16;Wendenschloß-Schule (Grundschule);12557;Köpenzeile 123;Berlin;52.42844;13.59532;;;;;;;;;;;;;
06K04;Bröndby-Schule (Integrierte Sekundarschule);12249;Dessauerstr. 63;Berlin;52.42848;13.34579;;;;;;;;;;;;;
06Y02;Droste-Hülshoff-Gymnasium;14165;Schönower Str. 8;Berlin;52.42882;13.2572;;;;;;;;;;;;;
06A05;VHS Steglitz-Zehlendorf - Victor-Gollancz;12207;Goethestraße 9-11;Berlin;52.42928;13.31645;;;;;;;;;;;;;
08K01;Walter-Gropius-Schule (Gemeinschaftsschule);12351;Fritz-Erler-Allee 86;Berlin;52.42934;13.46349;;;;;;;;;;;;;
08B02;Lise-Meitner-Schule (OSZ Chemie, Physik und Biologie);12351;Lipschitzallee 25;Berlin;52.42963;13.47265;;;;;;;;;;;;;
08G22;Schule am Regenweiher (Grundschule);12351;Johannisthaler Chaussee 328;Berlin;52.4298;13.45141;;;;;;;;;;;;;
06B03;OSZ Bürowirtschaft 1;12207;Ostpreußendamm 40;Berlin;52.43031;13.31701;;;;;;;;;;;;;
06P21;Internationale Montessorischule Berlin (Grundschule);14109;Zum Heckeshorn 38;Berlin;52.43033;13.16322;;;;;;;;;;;;;
06G21;Paul-Schneider-Grundschule;12249;Seydlitzstr. 30-34;Berlin;52.4306;13.34025;;;;;;;;;;;;;
08G29;Wetzlar-Schule (Grundschule);12351;Tischlerzeile 34;Berlin;52.43094;13.44331;;;;;;;;;;;;;
06Y01;Schadow-Gymnasium;14163;Beuckestr. 27-29;Berlin;52.43155;13.25482;;;;;;;;;;;;;
06G03;Johannes-Tews-Grundschule;14129;Wasgenstr. 50;Berlin;52.43156;13.21268;;;;;;;;;;;;;
06Y05;Werner-von-Siemens-Gymnasium;14129;Beskidenstr. 3;Berlin;52.43202;13.21161;;;;;;;;;;;;;
06G33;Friedrich-Drake-Grundschule;12205;Drakestr. 80;Berlin;52.43247;13.30784;;;;;;;;;;;;;
06G28;Ludwig-Bechstein-Grundschule;12249;Halbauer Weg 25;Berlin;52.43251;13.36244;;;;;;;;;;;;;
06Y06;Beethoven-Gymnasium;12249;Barbarastr. 9;Berlin;52.43257;13.34223;;;;;;;;;;;;;
08P17;DAA - Deutsche Angestellten-Akademie GmbH;12349;Buckower Damm 114;Berlin;52.43338;13.43473;;;;;;;;;;;;;
07G37;Ikarus-Grundschule;12107;Körtingstr. 45;Berlin;52.43357;13.3837;;;;;;;;;;;;;
06G25;Clemens-Brentano-Grundschule;12205;Kommandantenstr. 83-84;Berlin;52.43367;13.29318;;;;;;;;;;;;;
09G26;Schule an den Püttbergen (Grundschule);12589;Fürstenwalder Allee 182;Berlin;52.43367;13.70304;;;;;;;;;;;;;
06Y11;Goethe-Gymnasium Lichterfelde;12205;Drakestr. 72-74;Berlin;52.43459;13.30544;;;;;;;;;;;;;
06Y12;Willi-Graf-Gymnasium;12207;Ostpreußendamm 166;Berlin;52.43472;13.32112;;;;;;;;;;;;;
06P01;Katholische Schule Sankt Ursula (Grundschule);14169;Kleinaustr. 4;Berlin;52.43475;13.2645;;;;;;;;;;;;;
09K02;Anna-Seghers-Schule (Gemeinschaftsschule);12489;Radickestr. 43;Berlin;52.43517;13.54854;;;;;;;;;;;;;
06S03;Peter-Frankenfeld-Schule;12247;Wedellstr. 26;Berlin;52.4352;13.35497;;;;;;;;;;;;;
06Y10;Lilienthal-Gymnasium;12203;Ringstr. 2-3;Berlin;52.43579;13.31246;;;;;;;;;;;;;
06G01;Nord-Grundschule;14163;Potsdamer Str. 7;Berlin;52.43636;13.25711;;;;;;;;;;;;;
06P15;Oberlin-Seminar;12203;Tietzenweg 130;Berlin;52.43684;13.31256;;;;;;;;;;;;;
06K08;Max-von-Laue-Schule;12203;Dürerstr. 27;Berlin;52.43722;13.30572;;;;;;;;;;;;;
06G20;Alt-Lankwitzer Grundschule;12247;Schulstr. 17-21;Berlin;52.43736;13.3525;;;;;;;;;;;;;
06P02;Johanna-Gerdes-Grundschule;14163;Salzachstr. 4;Berlin;52.43785;13.22839;;;;;;;;;;;;;
09P15;W-I-R-Grundschule Pfefferwerk;12557;Grüne Trift 23 D;Berlin;52.43803;13.59029;;;;;;;;;;;;;
06G26;Käthe-Kruse-Grundschule;12203;Tietzenweg 108;Berlin;52.43815;13.31013;;;;;;;;;;;;;
06P20;Freie Schule Anne-Sophie Berlin;14169;Clayallee 328-334;Berlin;52.43819;13.26267;;;;;;;;;;;;;
09G09;Heide-Schule (Grundschule);12489;Florian-Geyer-Str. 87;Berlin;52.43845;13.54391;;;;;;;;;;;;;
07G27;Rudolf-Hildebrand-Grundschule;12107;Friedenstr. 23-25;Berlin;52.43874;13.38539;;;;;;;;;;;;;
06K11;Anna-Essinger-Gemeinschaftsschule;12203;Tietzenweg 101;Berlin;52.4388;13.30988;;;;;;;;;;;;;
09G18;Schule in der Köllnischen Vorstadt (Grundschule);12557;Rudower Str. 201;Berlin;52.43911;13.56448;;;;;;;;;;;;;
09G25;Müggelschlößchen-Schule (Grundschule);12559;Alfred-Randt-Str. 56;Berlin;52.43924;13.606;;;;;;;;;;;;;
06P13;Gemeinschaftsschule nach der Pädagogik Berthold Ottos;12203;Holbeinstr. 21;Berlin;52.43955;13.30597;;;;;;;;;;;;;
09G05;Schule am Ginkobaum (Grundschule);12487;Springbornstr. 250;Berlin;52.44013;13.49788;;;;;;;;;;;;;
08G27;Oskar-Heinroth-Schule (Grundschule);12359;Rohrdommelweg 1;Berlin;52.44031;13.47241;;;;;;;;;;;;;
08G13;Bruno-Taut-Schule (Grundschule);12359;Bruno-Taut-Ring 9C;Berlin;52.44047;13.44923;;;;;;;;;;;;;
09K08;Schule an der Dahme (Integrierte Sekundarschule);12557;Glienicker Str. 24-30;Berlin;52.44047;13.56721;;;;;;;;;;;;;
06G18;Athene-Grundschule;12205;Curtiusstr. 37;Berlin;52.44055;13.29058;;;;;;;;;;;;;
06P09;Caroline-von-Heydebrand-Schule;14129;Klopstockstr. 36-42;Berlin;52.4417;13.22602;;;;;;;;;;;;;
06G23;Kronach-Grundschule;12203;Moltkestr. 24-26;Berlin;52.44174;13.31276;;;;;;;;;;;;;
06B01;Peter-Lenné-Schule (OSZ Natur und Umwelt);14163;Hartmannsweilerweg 29;Berlin;52.44196;13.24889;;;;;;;;;;;;;
08S08;Schilling-Schule;12359;Paster-Behrens-Str. 81;Berlin;52.44277;13.44385;;;;;;;;;;;;;
09Y11;Emmy-Noether-Gymnasium;12559;Pablo-Neruda-Str. 6-7;Berlin;52.44278;13.5888;;;;;;;;;;;;;
06G06;Mühlenau-Grundschule;14195;Molsheimer Str. 7;Berlin;52.44318;13.27594;;;;;;;;;;;;;
06S01;Pestalozzi-Schule;14163;Hartmannsweilerweg 47;Berlin;52.44347;13.24842;;;;;;;;;;;;;
07G31;Carl-Sonnenschein-Grundschule;12109;Am Hellespont 4-6;Berlin;52.44385;13.40847;;;;;;;;;;;;;
09G19;Amtsfeld-Schule (Grundschule);12559;Pablo-Neruda-Str. 8;Berlin;52.44408;13.58871;;;;;;;;;;;;;
09K06;Hans-Grade-Schule (Integrierte Sekundarschule);12487;Heubergerweg 37;Berlin;52.4443;13.49886;;;;;;;;;;;;;
08B01;Annedore-Leber-Oberschule;12359;Paster-Behrens-Str. 88;Berlin;52.44464;13.44384;;;;;;;;;;;;;
